url,title,source_page
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/59.ptn-khoa-hoc-dat-va-moi-truong.pdf,PTN Khoa học Đất và Môi trường,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/60.ptn-bm-cong-nghe-moi-truong.pdf,PTN BM Công nghệ môi trường,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2025/08/02.hd-nop-hoc-phi-qua-ma-dinh-danh.pdf,02.hd-nop-hoc-phi-qua-ma-dinh-danh.pdf,
https://hus.vnu.edu.vn/DATA/IMAGES/2025/08/04.-huong-dan-sv-dang-ki-ktx.pdf,04.-huong-dan-sv-dang-ki-ktx.pdf,
https://hus.vnu.edu.vn/DATA/IMAGES/2025/09/danh-sach-trung-tuyen_ctdb_2025-final.pdf,danh-sach-trung-tuyen_ctdb_2025-final.pdf,
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/4.phong-thuc-hanh-hoa-sinh-va-sinh-hoc-phan-tu.pdf,Phòng thực hành Hóa sinh và Sinh học phân tử,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/5.phong-thuc-hanh-sinh-hoc-te-bao.pdf,Phòng thực hành Sinh học Tế bào,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/66.tt-cong-nghe-moi-truong-va-phat-trien-ben-vung.pdf,TT Công nghệ Môi trường và Phát triển bền vững,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/7.phong-thuc-hanh-da-dang-sinh-hoc.pdf,Phòng thực hành Đa dạng sinh học,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2020/06/8.bao-tang-sinh-hoc.pdf,Bảo tàng sinh học,https://hus.vnu.edu.vn/khoa-hoc-cong-nghe/phong-thi-nghiem
https://hus.vnu.edu.vn/DATA/IMAGES/2024/01/801.-qd-3529-cong-nghe-ki-thuat-moi-truong-final.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/moi-truong
https://hus.vnu.edu.vn/DATA/IMAGES/2024/01/802.-khoa-hoc-moi-truong-final-qd-3530.pdf,802.-khoa-hoc-moi-truong-final-qd-3530.pdf,
https://hus.vnu.edu.vn/DATA/IMAGES/2024/01/803.-khoa-hoc-moi-truong-chat-luong-cao-final-qd-3531.pdf,803.-khoa-hoc-moi-truong-chat-luong-cao-final-qd-3531.pdf,
